x, y, z, e_kjmol, dipole(x), dipole(y), dipole(z)
0.00000000e-00, 0.00000000e-00, 0.00000000e-00, 0.0, 1.070242170961756, -4.8854683671087695, 1.6978620410111507
0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.3961626166292262e-05, 1.070242220696496, -4.885468361179439, 1.6978620451495967
-2.88831444e-03, 8.88931780e-03, -2.68014657e-03, -81.43416060618324, 3.990203086286323, -9.827337407560327, 2.987429990470204
1.30082062e-03, 9.25581963e-03, -2.68014657e-03, -73.81228985654997, 1.2402056392078615, -9.59483973802243, 2.762251886214669
5.72325325e-19, 9.34678187e-03, -2.68014657e-03, -76.97099438349488, 2.1107706408506677, -9.768687823776629, 2.83621272607768
-1.30082062e-03, 9.25581963e-03, -2.68014657e-03, -79.45828422989979, 2.9669917981633063, -9.852471337050835, 2.9066103413699036
-2.57632224e-03, 8.98470339e-03, -2.68014657e-03, -81.14994081537719, 3.7911984337788036, -9.843992202090464, 2.9720212185277872
-3.80167868e-03, 8.53871012e-03, -2.68014657e-03, -81.92496402583981, 4.56606534644519, -9.742520011193053, 3.0310531377803343
-4.95303977e-03, 7.92652057e-03, -2.68014657e-03, -81.6751394877511, 5.275063178450842, -9.548902815553783, 3.0823872334322155
-6.00799558e-03, 7.16005031e-03, -2.68014657e-03, -80.31535835895261, 5.902940369809906, -9.265699599681396, 3.1248254137371365
1.01400800e-03, 9.62159742e-03, -9.70653345e-04, -73.46705741912456, 1.3715079307852418, -9.768005571511711, 2.2096445744068682
-2.46113899e-04, 9.60637108e-03, -1.48410903e-03, -76.89264814382875, 2.233591921631133, -9.89713669967706, 2.4523270508935826
-1.46339347e-03, 9.39950130e-03, -2.01329873e-03, -79.50230184731032, 3.052587793093678, -9.92671036020175, 2.6940387689108447
-2.61373997e-03, 9.01252757e-03, -2.54719987e-03, -81.17467109230932, 3.811604886605249, -9.859017788442742, 2.929917195950182
-3.67593776e-03, 8.46030239e-03, -3.07510683e-03, -81.81138903855225, 4.495871580887107, -9.698149620315935, 3.1553799330958068
-4.63195584e-03, 7.76047766e-03, -3.58684938e-03, -81.34695276105833, 5.093138367932125, -9.449955123604, 3.3662299375419895
-5.46723672e-03, 6.93293687e-03, -4.07298736e-03, -79.75672124089232, 5.5940253937055004, -9.121957387937272, 3.558748054543308
1.26164676e-05, 9.71000744e-03, 5.10992469e-04, -73.04353836765364, 1.9614426206249629, -9.874296533160868, 1.766730499411931
-9.70374569e-04, 9.66386930e-03, -4.62082669e-04, -76.88482487920834, 2.6639102811050486, -9.973919613523528, 2.1489741721395506
-1.87915388e-03, 9.42906301e-03, -1.45157448e-03, -79.65466975748643, 3.3014880360667354, -9.970704294112778, 2.528453912284424
-2.69889855e-03, 9.01794378e-03, -2.43683269e-03, -81.23509925018692, 3.862929921307693, -9.868009730773684, 2.897605828591732
-3.41617153e-03, 8.44560105e-03, -3.39810416e-03, -81.54798629442979, 4.3383945646094055, -9.670834936967918, 3.249277243291002
-4.01921907e-03, 7.73020259e-03, -4.31686958e-03, -80.56597940579934, 4.719883363294498, -9.386160863471318, 3.576881789164998
-4.49843892e-03, 6.89320772e-03, -5.17621982e-03, -78.32025766426983, 5.0017163952967705, -9.023215888731754, 3.8745686951699025
-1.57487416e-03, 9.48322742e-03, 1.46071424e-03, -73.1276140978303, 2.9398240150340174, -9.89315979240597, 1.5289054072781196
-2.06544329e-03, 9.49974608e-03, 1.85163149e-04, -77.2042391211362, 3.340629814619256, -9.98507645194878, 1.9878347120202025
-2.48110400e-03, 9.33703554e-03, -1.09973054e-03, -79.97118677796891, 3.6744574580794596, -9.976881264781133, 2.4413841643174177
-2.81726273e-03, 8.99994740e-03, -2.36843713e-03, -81.32409389094602, 3.936450586121866, -9.869426875120196, 2.8807913330414263
-3.06910952e-03, 8.49673231e-03, -3.59605669e-03, -81.2120305691443, 4.122324835069844, -9.665522071616625, 3.297572360709007
-3.23202170e-03, 7.83924304e-03, -4.75876258e-03, -79.64263707018824, 4.228743694743839, -9.370122019078062, 3.6837019031887452
-3.30172195e-03, 7.04310609e-03, -5.83427851e-03, -76.68400125347625, 4.253471465010992, -8.990458413662129, 4.031781912504467
-3.42051640e-03, 8.94876509e-03, 1.66288542e-03, -74.07984784209219, 4.104570174996066, -9.80417660127639, 1.5516797018997002
-3.31505751e-03, 9.13521722e-03, 3.22051382e-04, -77.9932455029944, 4.130649457578398, -9.924221081724587, 2.0034396684126663
-3.15690323e-03, 9.13933168e-03, -1.02571701e-03, -80.46317267557617, 4.102214350629002, -9.943867531379459, 2.4499279382265025
-2.94805165e-03, 8.96173109e-03, -2.35412071e-03, -81.42918210370897, 4.019278292919215, -9.863052373446552, 2.882464279454829
