x, y, z, e_kjmol, dipole(x), dipole(y), dipole(z)
0.00000000e-00, 0.00000000e-00, 0.00000000e-00, 0.0, 1.240152036579853, -4.78174188578297, 1.7377271241731236
0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.087499492768984e-05, 1.2401520312629783, -4.781741882540025, 1.7377271067501183
-2.88831444e-03, 8.88931780e-03, -2.68014657e-03, -81.11798113946617, 4.159373242765995, -9.724295828257958, 3.0409194691680552
1.30082062e-03, 9.25581963e-03, -2.68014657e-03, -72.70356168567469, 1.4191193401142652, -9.491940028033598, 2.804809240627452
5.72325325e-19, 9.34678187e-03, -2.68014657e-03, -76.09114158629802, 2.2865611845853855, -9.665812741948416, 2.88233114499268
-1.30082062e-03, 9.25581963e-03, -2.68014657e-03, -78.82249372336605, 3.139746670375209, -9.749553301724793, 2.956141109019907
-2.57632224e-03, 8.98470339e-03, -2.68014657e-03, -80.76891978837335, 3.961063189441769, -9.740980682185029, 3.024750759586847
-3.80167868e-03, 8.53871012e-03, -2.68014657e-03, -81.80492691323838, 4.733220453773845, -9.639379420123047, 3.0867100836420884
-4.95303977e-03, 7.92652057e-03, -2.68014657e-03, -81.81792026876678, 5.439725404810158, -9.445618393090331, 3.1406546362925813
-6.00799558e-03, 7.16005031e-03, -2.68014657e-03, -80.71839026226587, 6.065366975446504, -9.16227308814787, 3.1853538484116375
1.01400800e-03, 9.62159742e-03, -9.70653345e-04, -72.29776150485395, 1.5451272912082166, -9.664625126987383, 2.250942151023867
-2.46113899e-04, 9.60637108e-03, -1.48410903e-03, -75.97309140129471, 2.405637999417829, -9.79389359956065, 2.497599084952292
-1.46339347e-03, 9.39950130e-03, -2.01329873e-03, -78.84619014359686, 3.22323554941799, -9.82357249224961, 2.743115388487717
-2.61373997e-03, 9.01252757e-03, -2.54719987e-03, -80.79006769261451, 3.981045073734844, -9.755960083815093, 2.9825590748548465
-3.67593776e-03, 8.46030239e-03, -3.07510683e-03, -81.70061461945397, 4.66430011047535, -9.59515256277149, 3.2112875026793812
-4.63195584e-03, 7.76047766e-03, -3.58684938e-03, -81.50700097119079, 5.260758570233639, -9.34701074137239, 3.4250579604746485
-5.46723672e-03, 6.93293687e-03, -4.07298736e-03, -80.17940784782712, 5.761051823593383, -9.019072866660311, 3.620118286564365
1.26164676e-05, 9.71000744e-03, 5.10992469e-04, -71.97771130167581, 2.128947960443064, -9.770403343479613, 1.808743454289616
-9.70374569e-04, 9.66386930e-03, -4.62082669e-04, -76.03837700636325, 2.8316934368437483, -9.870299842339605, 2.1947535369339386
-1.87915388e-03, 9.42906301e-03, -1.45157448e-03, -79.03975076305181, 3.4697668511828113, -9.867350231590555, 2.577816164782976
-2.69889855e-03, 9.01794378e-03, -2.43683269e-03, -80.85878979160293, 4.031898635561269, -9.764908220208646, 2.950305609507121
-3.41617153e-03, 8.44560105e-03, -3.39810416e-03, -81.41196198473028, 4.508224589978224, -9.567969345563245, 3.3050079048384693
-4.01921907e-03, 7.73020259e-03, -4.31686958e-03, -80.6661245772753, 4.890730783509675, -9.283519392417746, 3.635286093137225
