x, y, z, e_kjmol, dipole(x), dipole(y), dipole(z)
0.00000000e-00, 0.00000000e-00, 0.00000000e-00, 0.0, 3.232714439289178, -4.796592333858521, -0.08142876208316432
1.94469038e-03, 0.00000000e+00, 0.00000000e+00, 4.560857801711393, 1.3001636282991436, -4.480188633776507, 0.12138170340361507
1.77656306e-03, 7.90976837e-04, 0.00000000e+00, 0.4315472939558731, 1.580709350742545, -5.026711243781083, 0.10125018711909631
1.30125185e-03, 1.44518659e-03, 0.00000000e+00, -4.064032173776525, 2.182398769457382, -5.552182033198298, 0.02186593449824265
6.00942377e-04, 1.84951046e-03, 0.00000000e+00, -8.334367737389528, 2.9820867752072138, -5.952739245093689, -0.07103024459092912
-2.03275497e-04, 1.93403716e-03, 0.00000000e+00, -11.700475878368877, 3.8344692619591982, -6.182616237393527, -0.1677507800163569
-9.72345191e-04, 1.68415127e-03, 0.00000000e+00, -13.459952401205612, 4.597160307050556, -6.188202554995253, -0.2664523069192638
-1.57328757e-03, 1.14306033e-03, 0.00000000e+00, -13.0865582095621, 5.101227507189445, -5.94441125875419, -0.3264648836034484
-1.90219423e-03, 4.04323865e-04, 0.00000000e+00, -10.488791728307547, 5.275754191864043, -5.491876680351202, -0.34495371654158696
-1.90219423e-03, -4.04323865e-04, 0.00000000e+00, -6.151288848812669, 5.081057660235282, -4.892666530454314, -0.3210214093207427
-1.57328757e-03, -1.14306033e-03, 0.00000000e+00, -1.006992677797939, 4.583353497274859, -4.283095515346996, -0.27641192323566177
-9.72345191e-04, -1.68415127e-03, 0.00000000e+00, 3.868155800653369, 3.8823450866974256, -3.762055333635553, -0.2232783652405366
-2.03275497e-04, -1.93403716e-03, 0.00000000e+00, 7.568220105652756, 3.099960984353685, -3.4354509181437485, -0.16196687970628057
6.00942377e-04, -1.84951046e-03, 0.00000000e+00, 9.531094582877586, 2.3504167732043117, -3.3540906997971263, -0.08116003028647302
1.30125185e-03, -1.44518659e-03, 0.00000000e+00, 9.559707543721572, 1.7148964210663458, -3.5776160912569637, 0.06131582377100562
1.77656306e-03, -7.90976837e-04, 0.00000000e+00, 7.772869223222585, 1.3586115478997816, -3.957588919922136, 0.10377849894242622
1.19727095e-03, 0.00000000e+00, 1.53243693e-03, 2.69128381642048, 2.2615963173006635, -4.575339487098407, -0.8229163271778829
1.09376144e-03, 7.90976837e-04, 1.39995080e-03, -1.437470078386525, 2.459202655281931, -5.156694397872563, -0.7308747320071488
8.01130636e-04, 1.44518659e-03, 1.02540045e-03, -5.646603976602023, 2.812779768890939, -5.665298369115738, -0.5572979403120728
3.69977070e-04, 1.84951046e-03, 4.73549055e-04, -9.186133762434508, 3.2613158618835003, -6.01459902657385, -0.3322879325268775
-1.25148892e-04, 1.93403716e-03, -1.60183278e-04, -11.37316124961842, 3.7208562869526536, -6.156730505238806, -0.07104590197153295
-5.98635475e-04, 1.68415127e-03, -7.66218466e-04, -11.749937230082992, 4.0938162229008475, -6.065975664390204, 0.19550652794052897
-9.68612545e-04, 1.14306033e-03, -1.23976752e-03, -10.214183177368, 4.321017846019123, -5.753585951414715, 0.4267146366803127
-1.17110771e-03, 4.04323865e-04, -1.49894951e-03, -7.05927419259524, 4.349212005437986, -5.268977587951547, 0.573224814395813
-1.17110771e-03, -4.04323865e-04, -1.49894951e-03, -2.8960587748803164, 4.175438074372993, -4.706063824447256, 0.5948372283182735
-9.68612545e-04, -1.14306033e-03, -1.23976752e-03, 1.4682420110751195, 3.85271114124214, -4.167657435251419, 0.5009257617024285
