x, y, z, e_kjmol, dipole(x), dipole(y), dipole(z)
0.00000000e-00, 0.00000000e-00, 0.00000000e-00, 0.0, 0.36130122102848755, -6.9477935113841385, 2.442807695824649
0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.5764610313672165e-05, 0.3613011873960152, -6.947793483702164, 2.442807689731411
-2.88831444e-03, 8.88931780e-03, -2.68014657e-03, -100.32924569740811, 3.1629726660594333, -11.901166727240003, 3.7318807450914724
1.30082062e-03, 9.25581963e-03, -2.68014657e-03, -97.09692729972664, 0.4041249303233221, -11.721583536935947, 3.5697275637742245
5.72325325e-19, 9.34678187e-03, -2.68014657e-03, -99.33269290161502, 1.2751856720987034, -11.880120502580507, 3.6250642565512954
-1.30082062e-03, 9.25581963e-03, -2.68014657e-03, -100.50229997762568, 2.1336567085209284, -11.947416158410345, 3.6759450326335323
-2.57632224e-03, 8.98470339e-03, -2.68014657e-03, -100.51605683904558, 2.9624039563857276, -11.922019137476251, 3.7214480016818237
-3.80167868e-03, 8.53871012e-03, -2.68014657e-03, -99.29440092724604, 3.744998710270361, -11.80430286236731, 3.7606972246828576
-4.95303977e-03, 7.92652057e-03, -2.68014657e-03, -96.77663851735542, 4.46299308561078, -11.594643300704174, 3.792881638280327
-6.00799558e-03, 7.16005031e-03, -2.68014657e-03, -92.92764670445968, 5.104196527177499, -11.296879297650813, 3.8170298756272003
1.01400800e-03, 9.62159742e-03, -9.70653345e-04, -95.89069412729935, 0.5560378414347279, -11.887058288246747, 3.008657737489727
-2.46113899e-04, 9.60637108e-03, -1.48410903e-03, -98.6384968259739, 1.412526532887509, -12.002415232893833, 3.2347656528395192
-1.46339347e-03, 9.39950130e-03, -2.01329873e-03, -100.18921303602792, 2.227438234715891, -12.017749501866788, 3.4594985262509206
-2.61373997e-03, 9.01252757e-03, -2.54719987e-03, -100.46567345318186, 2.984470214469825, -11.936167319964003, 3.6785075242733827
-3.67593776e-03, 8.46030239e-03, -3.07510683e-03, -99.41886174983199, 3.6697041092058655, -11.762811666094972, 3.8876997194855165
