x, y, z, e_kjmol, dipole(x), dipole(y), dipole(z)
0.00000000e-00, 0.00000000e-00, 0.00000000e-00, 0.0, 1.1718523075263765, -4.803546833876477, 1.716457907126985
0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.085141462908723e-05, 1.171852337038823, -4.803546876135605, 1.7164579014723385
-2.88831444e-03, 8.88931780e-03, -2.68014657e-03, -81.04225757970909, 4.090210060653295, -9.744660320183048, 3.014783832923874
1.30082062e-03, 9.25581963e-03, -2.68014657e-03, -72.93893651586149, 1.3481421738338057, -9.512289134764394, 2.781863722012457
5.72325325e-19, 9.34678187e-03, -2.68014657e-03, -76.23336600658484, 2.2161810717370676, -9.686127759634504, 2.858332968412368
-1.30082062e-03, 9.25581963e-03, -2.68014657e-03, -78.86853319825906, 3.0699307630734576, -9.769872505811053, 2.9311472674018906
-2.57632224e-03, 8.98470339e-03, -2.68014657e-03, -80.7175449196049, 3.8917750847756656, -9.761332795075965, 2.998833603194763
-3.80167868e-03, 8.53871012e-03, -2.68014657e-03, -81.65668819243086, 4.664417077784634, -9.659790639964593, 3.059955588322654
-4.95303977e-03, 7.92652057e-03, -2.68014657e-03, -81.57505964504469, 5.371363448707106, -9.466108774086027, 3.1131649513141104
-6.00799558e-03, 7.16005031e-03, -2.68014657e-03, -80.3849419399732, 5.99740490484243, -9.182855636698866, 3.1572354496760773
1.01400800e-03, 9.62159742e-03, -9.70653345e-04, -72.55991507967309, 1.475634939548969, -9.685143057476527, 2.2286311525101405
-2.46113899e-04, 9.60637108e-03, -1.48410903e-03, -76.13234512550059, 2.3362912489117074, -9.814332084315545, 2.474036325769829
-1.46339347e-03, 9.39950130e-03, -2.01329873e-03, -78.90068469840679, 3.1539915337415065, -9.843963452639413, 2.718359186856223
-2.61373997e-03, 9.01252757e-03, -2.54719987e-03, -80.74014452522954, 3.9118708311179997, -9.776326510721471, 2.9566888153478303
-3.67593776e-03, 8.46030239e-03, -3.07510683e-03, -81.5487539626917, 4.5951602445605095, -9.615519870013536, 3.1843951584777255
-4.63195584e-03, 7.76047766e-03, -3.58684938e-03, -81.2576062509047, 5.191625815013598, -9.367399096106283, 3.3972546621820396
-5.46723672e-03, 6.93293687e-03, -4.07298736e-03, -79.83875670990966, 5.691903397647527, -9.03949719529107, 3.591525477045977
1.26164676e-05, 9.71000744e-03, 5.10992469e-04, -72.2047021674399, 2.060997382061419, -9.791115379072522, 1.78646193811832
-9.70374569e-04, 9.66386930e-03, -4.62082669e-04, -76.17214553067572, 2.7634091608805718, -9.89087439022037, 2.1712095481748723
-1.87915388e-03, 9.42906301e-03, -1.45157448e-03, -79.0795785177915, 3.4011086201725163, -9.887815260433577, 2.553069049745711
-2.69889855e-03, 9.01794378e-03, -2.43683269e-03, -80.80584244495248, 3.962840115978549, -9.785288866598819, 2.924436732826724
-3.41617153e-03, 8.44560105e-03, -3.39810416e-03, -81.26944892964917, 4.438743276705483, -9.588294943380097, 3.27811232585375
-4.01921907e-03, 7.73020259e-03, -4.31686958e-03, -80.43927171326862, 4.820817912914068, -9.303813818386805, 3.6074849260703847
-4.49843892e-03, 6.89320772e-03, -5.17621982e-03, -78.34261369436445, 5.103379029607789, -8.941085013474833, 3.90667192709445
-1.57487416e-03, 9.48322742e-03, 1.46071424e-03, -72.44769999298018, 3.0348971222704453, -9.809681106913763, 1.5506220568987306
-2.06544329e-03, 9.49974608e-03, 1.85163149e-04, -76.60128438695807, 3.4370271663887486, -9.901825045708208, 2.011438441239393
-2.48110400e-03, 9.33703554e-03, -1.09973054e-03, -79.45636286597875, 3.772364957010697, -9.893877647426422, 2.4667538301623337
-2.81726273e-03, 8.99994740e-03, -2.36843713e-03, -80.90668382683407, 4.036021897861797, -9.786683683798932, 2.9077714350899293
-3.06910952e-03, 8.49673231e-03, -3.59605669e-03, -80.89876533362548, 4.223674916925724, -9.58304577549169, 3.325966927861606
-3.23202170e-03, 7.83924304e-03, -4.75876258e-03, -79.43721576171492, 4.331960835371654, -9.287915433346123, 3.713294033325575
-3.30172195e-03, 7.04310609e-03, -5.83427851e-03, -76.58690789886816, 4.358607661796028, -8.908530558090792, 4.062314271336154
-3.42051640e-03, 8.94876509e-03, 1.66288542e-03, -73.6194062352285, 4.196147560205449, -9.72051654295025, 1.5762161493083378
-3.31505751e-03, 9.13521722e-03, 3.22051382e-04, -77.54119798306817, 4.224633314829666, -9.840849234323379, 2.028990092823227
-3.15690323e-03, 9.13933168e-03, -1.02571701e-03, -80.03129688060017, 4.198790876029957, -9.86080158617096, 2.476373761403571
-2.94805165e-03, 8.96173109e-03, -2.35412071e-03, -81.02808706045323, 4.118586747981949, -9.780298147473518, 2.9096573086939816
-2.69218433e-03, 8.60626922e-03, -3.63727792e-03, -80.52804267609093, 3.985776066874617, -9.60129014341152, 3.32046222673707
-2.39450909e-03, 8.08004891e-03, -4.85022193e-03, -78.58493054834167, 3.8037662396895704, -9.327724027154144, 3.700898488560877
-2.06170950e-03, 7.39332579e-03, -5.96938897e-03, -75.30508397958158, 3.5774915974939687, -8.965441401620593, 4.043691080246712
-5.07914905e-03, 8.22223611e-03, 1.06892249e-03, -75.54664300096778, 5.264096216546901, -9.537789602103294, 1.8570424739815214
-4.44858740e-03, 8.64575158e-03, -8.10358645e-05, -78.85327508578621, 4.9555166266413995, -9.719080387484983, 2.2201441897571668
-3.77397414e-03, 8.87439817e-03, -1.24406320e-03, -80.71404171493089, 4.596705210726777, -9.794799372719671, 2.580088171100996
-3.06804416e-03, 8.91009329e-03, -2.39642642e-03, -81.14940199182382, 4.1958750989347235, -9.76726795628606, 2.9297623421109975
-2.34513806e-03, 8.75721631e-03, -3.51525348e-03, -80.2250022977143, 3.7627538535094365, -9.640274510826595, 3.2625024899208928
-1.62113652e-03, 8.42324075e-03, -4.57891347e-03, -78.04911632372318, 3.308480286710842, -9.419308286213862, 3.5722146283965204
-9.13376787e-04, 7.91925885e-03, -5.56745894e-03, -74.76845163321974, 2.8454679026788368, -9.111754893811856, 3.8535135764807986
