x, y, z, e_kjmol, dipole(x), dipole(y), dipole(z)
0.00000000e-00, 0.00000000e-00, 0.00000000e-00, 0.0, 0.21571664947608138, -8.205942886349694, 2.9154185564315473
0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.915121876867488e-05, 0.21571662043256762, -8.205942872400334, 2.915418566645027
-2.88831444e-03, 8.88931780e-03, -2.68014657e-03, -111.93417325934394, 2.9108061040776683, -13.007923958479187, 4.1692822527567355
1.30082062e-03, 9.25581963e-03, -2.68014657e-03, -110.13761065502695, 0.18842537183974892, -12.865593966281079, 4.0163731184845375
5.72325325e-19, 9.34678187e-03, -2.68014657e-03, -112.18161042293548, 1.0470862426863428, -13.010761758977662, 4.068319044116049
-1.30082062e-03, 9.25581963e-03, -2.68014657e-03, -112.93117908401257, 1.8930638993306033, -13.065772128441958, 4.116224252605745
-2.57632224e-03, 8.98470339e-03, -2.68014657e-03, -112.31080607307024, 2.7122918406919863, -13.030858674373349, 4.159381013959764
-3.80167868e-03, 8.53871012e-03, -2.68014657e-03, -110.26014218265243, 3.487268065947585, -12.905425310247477, 4.1966894783047115
-4.95303977e-03, 7.92652057e-03, -2.68014657e-03, -106.73975948615953, 4.202381370827639, -12.691583249618951, 4.227440181113762
-6.00799558e-03, 7.16005031e-03, -2.68014657e-03, -101.73854416262384, 4.842969576293266, -12.392792946405322, 4.250931032021399
1.01400800e-03, 9.62159742e-03, -9.70653345e-04, -108.5135392862287, 0.33849439113108654, -13.030351646146206, 3.4521498665002213
-2.46113899e-04, 9.60637108e-03, -1.48410903e-03, -111.18616131376393, 1.1825236248431639, -13.131639451499645, 3.6756605638403657
-1.46339347e-03, 9.39950130e-03, -2.01329873e-03, -112.44094367434934, 1.9855310389825982, -13.1348551693907, 3.8983199653330263
-2.61373997e-03, 9.01252757e-03, -2.54719987e-03, -112.2225674742919, 2.7340542970155637, -13.044679144075738, 4.116138657541842
-3.67593776e-03, 8.46030239e-03, -3.07510683e-03, -110.50658854866032, 3.413007889945023, -12.86515321949605, 4.324641925309354
-4.63195584e-03, 7.76047766e-03, -3.58684938e-03, -107.3047802414651, 4.010770096469238, -12.603111320507082, 4.52017687070795
-5.46723672e-03, 6.93293687e-03, -4.07298736e-03, -102.6698928913346, 4.51815221278961, -12.266475496506544, 4.699378430043888
1.26164676e-05, 9.71000744e-03, 5.10992469e-04, -105.44252457705608, 0.9437032909073585, -13.116383740957229, 2.9866632223427665
-9.70374569e-04, 9.66386930e-03, -4.62082669e-04, -109.30496591859458, 1.6231864144610884, -13.192835285032789, 3.356158625247276
-1.87915388e-03, 9.42906301e-03, -1.45157448e-03, -111.53877761724226, 2.239942890037336, -13.169330288601431, 3.7234868365824294
-2.69889855e-03, 9.01794378e-03, -2.43683269e-03, -112.07111681952387, 2.786447600606966, -13.051603051444314, 4.081930670948499
-3.41617153e-03, 8.44560105e-03, -3.39810416e-03, -110.87649162008512, 3.2523684863705458, -12.84441453990539, 4.42431825470166
-4.01921907e-03, 7.73020259e-03, -4.31686958e-03, -107.98619659281496, 3.6301015095067353, -12.55526587820587, 4.74444141165583
-4.49843892e-03, 6.89320772e-03, -5.17621982e-03, -103.49617955156538, 3.913889404432481, -12.193357745258568, 5.03668355401609
-1.57487416e-03, 9.48322742e-03, 1.46071424e-03, -101.92871910817968, 1.9316812196030693, -13.104089938807313, 2.7184603715863425
-2.06544329e-03, 9.49974608e-03, 1.85163149e-04, -107.10775704828, 2.3046269853221766, -13.18077493410022, 3.1734390915288646
-2.48110400e-03, 9.33703554e-03, -1.09973054e-03, -110.46169511000818, 2.6160518940468793, -13.162826910331392, 3.6247183290508365
-2.81726273e-03, 8.99994740e-03, -2.36843713e-03, -111.88603312668477, 2.8605622564371584, -13.05043019606311, 4.062785156001373
-3.06910952e-03, 8.49673231e-03, -3.59605669e-03, -111.33820931808799, 3.034559398361918, -12.846873860015284, 4.47950957807309
-3.23202170e-03, 7.83924304e-03, -4.75876258e-03, -108.84331305119014, 3.13490875263362, -12.557100765131715, 4.867015358422383
-3.30172195e-03, 7.04310609e-03, -5.83427851e-03, -104.49705846475524, 3.159196660079691, -12.187915281635052, 5.217980005348114
-3.42051640e-03, 8.94876509e-03, 1.66288542e-03, -98.95557071072909, 3.098038973257073, -12.977743733687634, 2.7084932493332077
-3.31505751e-03, 9.13521722e-03, 3.22051382e-04, -105.19781853140626, 3.095757779304431, -13.09492302943771, 3.1671336106868235
-3.15690323e-03, 9.13933168e-03, -1.02571701e-03, -109.47705968042129, 3.04403714525902, -13.116072217159642, 3.621193908915305
-2.94805165e-03, 8.96173109e-03, -2.35412071e-03, -111.70305000445427, 2.9434055982462315, -13.041390136907104, 4.062099205495371
-2.69218433e-03, 8.60626922e-03, -3.63727792e-03, -111.848889125126, 2.7958335940302392, -12.872702304829657, 4.481482098921527
-2.39450909e-03, 8.08004891e-03, -4.85022193e-03, -109.95090669808451, 2.6046373006678056, -12.613465595285424, 4.871360639036718
-2.06170950e-03, 7.39332579e-03, -5.96938897e-03, -106.10530381794484, 2.3744198100665628, -12.268730711211726, 5.224294215774793
-5.07914905e-03, 8.22223611e-03, 1.06892249e-03, -97.25600810602106, 4.163479464614566, -12.761953448986466, 2.9594494322418354
-4.44858740e-03, 8.64575158e-03, -8.10358645e-05, -104.01873462024628, 3.8237305034281093, -12.95064447278538, 3.3376573882734397
-3.77397414e-03, 8.87439817e-03, -1.24406320e-03, -108.79208393642614, 3.4399530392268756, -13.038034589634824, 3.713597199645034
-3.06804416e-03, 8.91009329e-03, -2.39642642e-03, -111.5553640921081, 3.020268697616861, -13.026091999373605, 4.079994444542203
-2.34513806e-03, 8.75721631e-03, -3.51525348e-03, -112.33532898813979, 2.5740267921934756, -12.917961843580674, 4.429929543486528
-1.62113652e-03, 8.42324075e-03, -4.57891347e-03, -111.2077706540033, 2.1117779662555782, -12.718258666788826, 4.756967349999808
-9.13376787e-04, 7.91925885e-03, -5.56745894e-03, -108.2971754664631, 1.6452330145019816, -12.433293484876184, 5.055295028607935
-6.18817246e-03, 7.49794479e-03, -1.81279891e-04, -97.10113403544432, 4.893136881771236, -12.518823167716643, 3.413038599150941
-5.23247360e-03, 8.14169288e-03, -9.37856120e-04, -103.71584382573246, 4.33783819632552, -12.781769687139214, 3.6490415555366686
-4.21367217e-03, 8.59412871e-03, -1.71214353e-03, -108.49552298413892, 3.7273119094641114, -12.943981037637446, 3.8839244046600183
-3.15599778e-03, 8.85414062e-03, -2.48784825e-03, -111.46692623383689, 3.0775256190461158, -13.007217765873857, 4.11329419829109
-2.08333035e-03, 8.92451469e-03, -3.24935212e-03, -112.69601300722445, 2.4043192174205332, -12.974866640141242, 4.332997887570668
-1.01893489e-03, 8.81197561e-03, -3.98200633e-03, -112.28290337798228, 1.7232051269676283, -12.8518793670841, 4.539178164345372
1.49884093e-05, 8.52723765e-03, -4.67242018e-03, -110.3571643256542, 1.0506197428271216, -12.646103487685583, 4.72846215923806
-6.57582763e-03, 6.92835813e-03, -1.81710249e-03, -98.05433873103601, 5.169826450980422, -12.3027089453601, 3.973315993701266
-5.53418798e-03, 7.72116641e-03, -2.07409491e-03, -104.09468825566319, 4.549063188016323, -12.621859797863989, 4.038724438842097
-4.39942413e-03, 8.34928424e-03, -2.34094786e-03, -108.5539308808307, 3.8553930560581615, -12.850864057170405, 4.099949494654773
-3.19664574e-03, 8.80358412e-03, -2.61225564e-03, -111.4492879749746, 3.105209510165869, -12.98802850683561, 4.156126999510665
-1.95137057e-03, 9.07898848e-03, -2.88264428e-03, -112.83202955393148, 2.3153505908174017, -13.03326126099146, 4.206404614481625
-6.88898350e-04, 9.17431569e-03, -3.14688222e-03, -112.77790660074874, 1.5024380613950798, -12.987959320835483, 4.249860964140513
5.66254647e-04, 9.09202989e-03, -3.39998016e-03, -111.37865913961087, 0.6839608958704929, -12.856476174460372, 4.286326368389076
-6.23950314e-03, 6.57400327e-03, -3.52088037e-03, -99.30337027138762, 4.98268761279798, -12.136334094926715, 4.532781105710302
-5.33355819e-03, 7.44125255e-03, -3.27512359e-03, -104.78790547579871, 4.439417812752293, -12.49267784966427, 4.433931578531862
-4.30920912e-03, 8.17807303e-03, -3.01585068e-03, -108.86672279289598, 3.8079484890542816, -12.773321309690719, 4.322584451218106
-3.18337095e-03, 8.76702525e-03, -2.74789639e-03, -111.50202751113983, 3.098775639915931, -12.971796196773735, 4.201016543732066
-1.97584980e-03, 9.19288108e-03, -2.47638286e-03, -112.69008637437366, 2.3247514981235198, -13.082750900471863, 4.071422788608783
-7.09086808e-04, 9.44317289e-03, -2.20662605e-03, -112.4564743974604, 1.5020852450751347, -13.103295633956277, 3.9363146582462165
5.92205590e-04, 9.50870947e-03, -1.94403026e-03, -110.85236810721784, 0.6431893357455327, -13.028942748729287, 3.7980999933597936
-5.30901510e-03, 6.43270730e-03, -4.99801485e-03, -100.29739002971695, 4.408158331157169, -12.023292021245595, 4.99692055214619
-4.70608584e-03, 7.32263715e-03, -4.33327338e-03, -105.53844615290086, 4.053640834812953, -12.406478694131602, 4.767382430844573
-3.97281639e-03, 8.10288365e-03, -3.62015517e-03, -109.34692048403946, 3.6022318905883055, -12.722421767064164, 4.513749934110011
-3.11907922e-03, 8.75056573e-03, -2.87131697e-03, -111.61512692559245, 3.0597290658852314, -12.961271026779905, 4.240220922650909
-2.15819784e-03, 9.24523006e-03, -2.10081415e-03, -112.29045266609808, 2.4345659334594187, -13.11463365603358, 3.9515979583660075
-1.10648797e-03, 9.56915413e-03, -1.32381667e-03, -111.37055290245269, 1.7390687064181416, -13.176755757555833, 3.6533920535677082
1.70629843e-05, 9.70750930e-03, -5.56317447e-04, -108.89760013131024, 0.9818884345977698, -13.140033655149972, 3.3510805653773676
-4.00967104e-03, 6.49094201e-03, -6.02791232e-03, -101.1273505303185, 3.590745548728408, -11.971483745079727, 5.298687804261229
-3.79226341e-03, 7.37019742e-03, -5.08374322e-03, -106.37237203202903, 3.480642202336507, -12.374025924045448, 4.9887057779814485
-3.45850860e-03, 8.13258947e-03, -4.05527110e-03, -109.9662255250505, 3.2808550335692694, -12.70607006423343, 4.6427625230377565
-3.01529847e-03, 8.75691133e-03, -2.96141790e-03, -111.77138039647684, 2.9951083950366533, -12.95825010449208, 4.267058629920944
-2.47065912e-03, 9.22593714e-03, -1.82303162e-03, -111.72424199161594, 2.6284330677675305, -13.12329931119542, 3.868526421172603
-1.83338119e-03, 9.52603990e-03, -6.62415449e-04, -109.82906444467505, 2.186748818948247, -13.1956203694525, 3.4545187942400957
-1.11262319e-03, 9.64678667e-03, 4.97085072e-04, -106.14960979882699, 1.67801447811452, -13.172645614838116, 3.0336637990634165
-2.58614055e-03, 6.76586854e-03, -6.48694203e-03, -102.45198231173367, 2.6903212435742163, -12.007023702427803, 5.406469590181343
-2.75311201e-03, 7.58667872e-03, -5.42293252e-03, -107.52103115577614, 2.8242522276626745, -12.407670698780233, 5.069077398207737
-2.85466885e-03, 8.26435389e-03, -4.25403780e-03, -110.72743248875287, 2.899858448803038, -12.72854470349186, 4.690148599141069
-2.88991456e-03, 8.78500116e-03, -3.00294278e-03, -111.94782984539478, 2.9160796750808884, -12.963283945503015, 4.276999827394637
-2.85854665e-03, 9.13808976e-03, -1.69397270e-03, -111.12265045121518, 2.872649971673762, -13.10720479552273, 3.837544250341991
-2.76094800e-03, 9.31656303e-03, -3.52613639e-04, -108.25907798150155, 2.7701661944306344, -13.157320135366621, 3.3801246933686495
-2.59812858e-03, 9.31693386e-03, 9.94981557e-04, -103.43147075253853, 2.6099599032044556, -13.112321183368033, 2.9132602496237627
-1.20875800e-03, 7.27863045e-03, -6.33292664e-03, -104.78979181312633, 1.8186573844159577, -12.152815382546287, 5.312915249520442
-1.73074862e-03, 7.96036014e-03, -5.30873739e-03, -109.0962840950744, 2.1756982472274196, -12.511814604872631, 4.999374396922682
-2.25375910e-03, 8.48147792e-03, -4.18695822e-03, -111.58372719730204, 2.5179307410758778, -12.788167698075895, 4.649054385544463
-2.76411282e-03, 8.83015621e-03, -2.98890257e-03, -112.11704493123324, 2.8360069667869485, -12.975557134383045, 4.26837565289907
-3.25014336e-03, 8.99791876e-03, -1.73768323e-03, -110.61401806389728, 3.122141609891527, -13.069337810959045, 3.8644428372734736
-3.70211145e-03, 8.97944202e-03, -4.57721348e-04, -107.04839456797049, 3.3700722894382866, -13.066446980642857, 3.4448864556002987
-4.11232645e-03, 8.77225637e-03, 8.25715613e-04, -101.45075827878588, 3.575144157834804, -12.965269102420423, 3.017713746778712
1.03475339e-05, 7.96376880e-03, -5.57887053e-03, -107.6440596692371, 1.0449247003290087, -12.38533595115218, 5.024836576636868
-8.47388971e-04, 8.43906727e-03, -4.75495453e-03, -110.79525059848982, 1.6111644020177538, -12.669722280710685, 4.787617193760522
-1.74395651e-03, 8.75068081e-03, -3.86389933e-03, -112.3812211339241, 2.1907719051074026, -12.875326309357623, 4.525436068496828
-2.65903896e-03, 8.88475925e-03, -2.92165737e-03, -112.24961881702609, 2.76833806379825, -12.992986971057627, 4.242633423328093
