x, y, z, e_kjmol, dipole(x), dipole(y), dipole(z)
0.00000000e-00, 0.00000000e-00, 0.00000000e-00, 0.0, 0.2064178984479646, -9.330161028416164, 3.1225308029493166
0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.2041609497591708e-05, 0.2064178708134439, -9.330160998346024, 3.122530810786551
-2.88831444e-03, 8.88931780e-03, -2.68014657e-03, -121.36072198796734, 2.772454713248015, -13.881190236746228, 4.306547114088358
1.30082062e-03, 9.25581963e-03, -2.68014657e-03, -120.42043303648529, 0.08802616769273047, -13.78093210769207, 4.147419994730687
5.72325325e-19, 9.34678187e-03, -2.68014657e-03, -122.40506900478152, 0.9310939868396041, -13.909241900352352, 4.200464456054158
-1.30082062e-03, 9.25581963e-03, -2.68014657e-03, -122.90822648285018, 1.7662894056944591, -13.951567783182869, 4.250208584198578
-2.57632224e-03, 8.98470339e-03, -2.68014657e-03, -121.8678001494498, 2.5758975548887597, -13.906187212395816, 4.295873743351924
-3.80167868e-03, 8.53871012e-03, -2.68014657e-03, -119.23836452066604, 3.3442571129020737, -13.773835866128472, 4.336581179748476
-4.95303977e-03, 7.92652057e-03, -2.68014657e-03, -114.99747621632218, 4.0563992140843, -13.556589246276584, 4.371510614331945
-6.00799558e-03, 7.16005031e-03, -2.68014657e-03, -109.15200752699752, 4.6983691693095295, -13.258269485557676, 4.399858009722392
1.01400800e-03, 9.62159742e-03, -9.70653345e-04, -118.87534157027056, 0.2273065453535066, -13.945072948086267, 3.587671235562221
-2.46113899e-04, 9.60637108e-03, -1.48410903e-03, -121.45522101543833, 1.0599502453204432, -14.029464859646652, 3.8109438881201907
-1.46339347e-03, 9.39950130e-03, -2.01329873e-03, -122.43487168929454, 1.854833635487985, -14.019886023945467, 4.034168268482097
-2.61373997e-03, 9.01252757e-03, -2.54719987e-03, -121.78065634990833, 2.5968355328583823, -13.919767203490414, 4.253005535509629
-3.67593776e-03, 8.46030239e-03, -3.07510683e-03, -119.48969133689388, 3.2725230394267344, -13.73451622710814, 4.463419353456087
-4.63195584e-03, 7.76047766e-03, -3.58684938e-03, -115.59503636261326, 3.8705600802185356, -13.470752097454561, 4.661573805436124
-5.46723672e-03, 6.93293687e-03, -4.07298736e-03, -110.16948221106361, 4.382067793801049, -13.13658261272017, 4.84408236294933
1.26164676e-05, 9.71000744e-03, 5.10992469e-04, -115.55536440410037, 0.820272938116771, -14.027576913157663, 3.1277941531513855
-9.70374569e-04, 9.66386930e-03, -4.62082669e-04, -119.3880055824269, 1.491655844937156, -14.087346836322661, 3.4954302369896375
-1.87915388e-03, 9.42906301e-03, -1.45157448e-03, -121.42302002770595, 2.104200168855836, -14.052045081527362, 3.8615684874485603
-2.69889855e-03, 9.01794378e-03, -2.43683269e-03, -121.60633547126344, 2.6482186086700317, -13.926157137097745, 4.219247107900635
-3.41617153e-03, 8.44560105e-03, -3.39810416e-03, -119.92982317108329, 3.1148774028690718, -13.715587654824033, 4.561752590824785
-4.01921907e-03, 7.73020259e-03, -4.31686958e-03, -116.44140187365412, 3.4965340612433398, -13.42773921642079, 4.882833682243336
-4.49843892e-03, 6.89320772e-03, -5.17621982e-03, -111.25369498928308, 3.7877401405878413, -13.07148080291288, 5.176801337368515
-1.57487416e-03, 9.48322742e-03, 1.46071424e-03, -111.47556161886541, 1.7948364820682476, -14.007224192231615, 2.8657234159914022
-2.06544329e-03, 9.49974608e-03, 1.85163149e-04, -116.79184841386865, 2.1649974133411445, -14.07011783725891, 3.3173016582044923
-2.48110400e-03, 9.33703554e-03, -1.09973054e-03, -120.12554089237562, 2.4750852353941815, -14.041895166768294, 3.765035036556278
-2.81726273e-03, 8.99994740e-03, -2.36843713e-03, -121.37832460714844, 2.721313249892171, -13.924240280910773, 4.200548417832478
-3.06910952e-03, 8.49673231e-03, -3.59605669e-03, -120.51437712282109, 2.9000162618420964, -13.720342133566156, 4.615626740528788
-3.23202170e-03, 7.83924304e-03, -4.75876258e-03, -117.56569191094673, 3.007978047127141, -13.435114781089373, 5.002543224525233
-3.30172195e-03, 7.04310609e-03, -5.83427851e-03, -112.63541277823674, 3.0425255968404503, -13.075124733980605, 5.353916242396381
-3.42051640e-03, 8.94876509e-03, 1.66288542e-03, -107.7057576369399, 2.9513222923110907, -13.87007479217484, 2.8613438152337096
-3.31505751e-03, 9.13521722e-03, 3.22051382e-04, -114.3425887029137, 2.9482032744897553, -13.976090734462236, 3.3142347187104755
-3.15690323e-03, 9.13933168e-03, -1.02571701e-03, -118.85104251013928, 2.8987219392192243, -13.990803747571933, 3.7633679170646572
-2.94805165e-03, 8.96173109e-03, -2.35412071e-03, -121.13994745722994, 2.803307301304235, -13.91437219050179, 4.200227929195431
-2.69218433e-03, 8.60626922e-03, -3.63727792e-03, -121.18177191792955, 2.663713843949756, -13.74852263451054, 4.616531806498066
-2.39450909e-03, 8.08004891e-03, -4.85022193e-03, -119.01273858615929, 2.482944998518458, -13.49655068641979, 5.004415836969804
-2.06170950e-03, 7.39332579e-03, -5.96938897e-03, -114.72965492779304, 2.265204460842814, -13.16330177023935, 5.356560560211346
-5.07914905e-03, 8.22223611e-03, 1.06892249e-03, -105.17937530114511, 4.011182583893324, -13.642350054562272, 3.115313135162593
-4.44858740e-03, 8.64575158e-03, -8.10358645e-05, -112.60616031581435, 3.6717522665334683, -13.82383718817599, 3.486789551151162
-3.77397414e-03, 8.87439817e-03, -1.24406320e-03, -117.86589156925828, 3.292017960535603, -13.908598905991914, 3.8568775158407007
-3.06804416e-03, 8.91009329e-03, -2.39642642e-03, -120.9343049169027, 2.8796430708900127, -13.898310312098383, 4.218342478995155
-2.34513806e-03, 8.75721631e-03, -3.51525348e-03, -121.83509965040213, 2.4434247926757307, -13.795821866700733, 4.564326924891584
-1.62113652e-03, 8.42324075e-03, -4.57891347e-03, -120.64238565296966, 1.9933203026662798, -13.605457732403432, 4.888502280767057
-9.13376787e-04, 7.91925885e-03, -5.56745894e-03, -117.48169551235668, 1.5404462528370224, -13.333277883071785, 5.185190792498729
-6.18817246e-03, 7.49794479e-03, -1.81279891e-04, -104.39630203940618, 4.741104766299904, -13.390279506972423, 3.5692266290082717
-5.23247360e-03, 8.14169288e-03, -9.37856120e-04, -111.85895503016167, 4.1855259289085005, -13.648963704081307, 3.798391492049684
-4.21367217e-03, 8.59412871e-03, -1.71214353e-03, -117.31967936960132, 3.578954355870024, -13.811450388520935, 4.027343736759279
-3.15599778e-03, 8.85414062e-03, -2.48784825e-03, -120.79574861145136, 2.9367871863054904, -13.878878540054702, 4.2516768057995185
-2.08333035e-03, 8.92451469e-03, -3.24935212e-03, -122.34603249971383, 2.27409066764362, -13.854198112090655, 4.467269135148139
-1.01893489e-03, 8.81197561e-03, -3.98200633e-03, -122.06684437809025, 1.605633130486084, -13.74208089853321, 4.670376355636392
1.49884093e-05, 8.52723765e-03, -4.67242018e-03, -120.08844899879949, 0.9456634130996403, -13.548890188567334, 4.857665892746931
-6.57582763e-03, 6.92835813e-03, -1.81710249e-03, -105.03976889873337, 5.023651466546097, -13.169703598900476, 4.1270652931894
-5.53418798e-03, 7.72116641e-03, -2.07409491e-03, -111.98887057845519, 4.400442895970119, -13.4862481269565, 4.186510315386996
-4.39942413e-03, 8.34928424e-03, -2.34094786e-03, -117.22335717134843, 3.708741626971126, -13.71718160016474, 4.242669114448646
