x, y, z, e_kjmol, dipole(x), dipole(y), dipole(z)
0.00000000e-00, 0.00000000e-00, 0.00000000e-00, 0.0, 1.301149627897687, -4.769367187911646, 1.7617793274946698
0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.8963335833177553e-05, 1.3011496054192975, -4.769367195439784, 1.7617793033604223
-2.88831444e-03, 8.88931780e-03, -2.68014657e-03, -81.26242068912342, 4.220892516467362, -9.71276021955127, 3.0690481127613203
1.30082062e-03, 9.25581963e-03, -2.68014657e-03, -72.5755110685734, 1.4814652984895211, -9.480683300765868, 2.8306842334343987
5.72325325e-19, 9.34678187e-03, -2.68014657e-03, -76.04569925232016, 2.348605781866266, -9.654487491079927, 2.9089593138442287
-1.30082062e-03, 9.25581963e-03, -2.68014657e-03, -78.86140736275769, 3.2015332984791476, -9.738141385995794, 2.983475492661903
-2.57632224e-03, 8.98470339e-03, -2.68014657e-03, -80.89237448439064, 4.022630394078359, -9.7294709557874, 3.052728873687467
-3.80167868e-03, 8.53871012e-03, -2.68014657e-03, -82.0116263771717, 4.794615496853345, -9.627763439544017, 3.1152666993172247
-4.95303977e-03, 7.92652057e-03, -2.68014657e-03, -82.1049437469282, 5.500979113828089, -9.433900117090399, 3.169713133702778
-6.00799558e-03, 7.16005031e-03, -2.68014657e-03, -81.08149695704714, 6.126504266563513, -9.150461135412836, 3.214835816277101
1.01400800e-03, 9.62159742e-03, -9.70653345e-04, -72.13875936482356, 1.6064157281967413, -9.653182671511097, 2.2761223575288865
-2.46113899e-04, 9.60637108e-03, -1.48410903e-03, -75.90773709905574, 2.4669574827315306, -9.782434658324355, 2.5237458436349067
-1.46339347e-03, 9.39950130e-03, -2.01329873e-03, -78.87505135006393, 3.28462533968607, -9.812083737208766, 2.7701827145184854
-2.61373997e-03, 9.01252757e-03, -2.54719987e-03, -80.91173146525142, 4.042535155961732, -9.74443462494574, 3.0104841097288455
-3.67593776e-03, 8.46030239e-03, -3.07510683e-03, -81.91191394088872, 4.725920873002162, -9.583583171897887, 3.2400023336866197
-4.63195584e-03, 7.76047766e-03, -3.58684938e-03, -81.80299236196072, 5.322520630878998, -9.335399395050304, 3.4544776355340305
-5.46723672e-03, 6.93293687e-03, -4.07298736e-03, -80.55367618113831, 5.822960321474646, -9.007422722083774, 3.650152802970967
1.26164676e-05, 9.71000744e-03, 5.10992469e-04, -71.84229083417353, 2.1892407804566103, -9.75872153680494, 1.8336859399844487
-9.70374569e-04, 9.66386930e-03, -4.62082669e-04, -75.99050658157768, 2.8923355422070873, -9.858675962981339, 2.220734576816185
-1.87915388e-03, 9.42906301e-03, -1.45157448e-03, -79.07894866831583, 3.5307882147725573, -9.855770940278575, 2.604791266129869
-2.69889855e-03, 9.01794378e-03, -2.43683269e-03, -80.98262680843328, 4.09331663325181, -9.753365057350328, 2.9782122985845003
-3.41617153e-03, 8.44560105e-03, -3.39810416e-03, -81.61640974207126, 4.570056080194155, -9.5564506135244, 3.333775734440004
-4.01921907e-03, 7.73020259e-03, -4.31686958e-03, -80.94546119657554, 4.952972547427614, -9.272019667808681, 3.664820707635129
-4.49843892e-03, 6.89320772e-03, -5.17621982e-03, -78.99346061078012, 5.236374358700705, -8.909313179114397, 3.965442410222216
-1.57487416e-03, 9.48322742e-03, 1.46071424e-03, -72.25509047949663, 3.161151272756879, -9.776876968465311, 1.5986980020860044
-2.06544329e-03, 9.49974608e-03, 1.85163149e-04, -76.53708861404095, 3.5645793808053114, -9.86934811026209, 2.0615494402235077
-2.48110400e-03, 9.33703554e-03, -1.09973054e-03, -79.52042317903494, 3.901282970425673, -9.861685701848444, 2.5187976464662456
-2.81726273e-03, 8.99994740e-03, -2.36843713e-03, -81.09623816042159, 4.166346930153096, -9.754731772789922, 2.961610978574655
-3.06910952e-03, 8.49673231e-03, -3.59605669e-03, -81.20821697759675, 4.355437548966033, -9.5512811038239, 3.381438165729129
-3.23202170e-03, 7.83924304e-03, -4.75876258e-03, -79.85791590370303, 4.465152514301701, -9.256292331426318, 3.7701772202289514
-3.30172195e-03, 7.04310609e-03, -5.83427851e-03, -77.10699980597218, 4.493203156148735, -8.877000709050707, 4.120366639660077
-3.42051640e-03, 8.94876509e-03, 1.66288542e-03, -73.67467153746946, 4.321348866110846, -9.687440538374128, 1.6260885506923348
-3.31505751e-03, 9.13521722e-03, 3.22051382e-04, -77.6464118507651, 4.351433773183607, -9.80818587983083, 2.0803412964940735
-3.15690323e-03, 9.13933168e-03, -1.02571701e-03, -80.18787588138707, 4.3272753500572545, -9.828509782237397, 2.5291025924538406
-2.94805165e-03, 8.96173109e-03, -2.35412071e-03, -81.23572829435062, 4.248823144315501, -9.748326866743406, 2.9636335840534187
-2.69218433e-03, 8.60626922e-03, -3.63727792e-03, -80.78486770606668, 4.117808888392429, -9.569580360064581, 3.375526090213256
-2.39450909e-03, 8.08004891e-03, -4.85022193e-03, -78.88745571480445, 3.9376000558035704, -9.296213726735177, 3.7568519199006976
-2.06170950e-03, 7.39332579e-03, -5.96938897e-03, -75.64857958713009, 3.713085261718936, -8.934065087222539, 4.100316705899401
-5.07914905e-03, 8.22223611e-03, 1.06892249e-03, -75.87273294064516, 5.389298466464542, -9.504666413130083, 1.9092968658556853
-4.44858740e-03, 8.64575158e-03, -8.10358645e-05, -79.14529862448603, 5.082285014048368, -9.686369815509297, 2.273157009561067
-3.77397414e-03, 8.87439817e-03, -1.24406320e-03, -80.97337927258485, 4.725153171066508, -9.762475265118121, 2.633744956962059
-3.06804416e-03, 8.91009329e-03, -2.39642642e-03, -81.37730038418266, 4.32610068756417, -9.735289592454246, 2.9839242941397592
-2.34513806e-03, 8.75721631e-03, -3.51525348e-03, -80.4225603487838, 3.894828757573361, -9.608586652135136, 3.317013333425762
-1.62113652e-03, 8.42324075e-03, -4.57891347e-03, -78.21790622185512, 3.4424362968482396, -9.387845401033179, 3.626907499075912
-9.13376787e-04, 7.91925885e-03, -5.56745894e-03, -74.91070261805612, 2.9812940823560163, -9.080441743685006, 3.90822248812864
